10 15
17
C 10 1 0 1 40 0
C 1 15 0 1 40 0
V 1 9 0 1 20 0
T 1 13 0 1 30 1
C 2 3 0 1 40 0
T 3 1 0 1 30 1
V 3 8 0 1 20 0
C 3 14 0 1 40 0
F 4 5 0 1 80 0
F 5 12 0 1 80 0
T 6 3 0 1 30 1
T 7 10 0 1 30 1
C 8 2 0 1 40 0
V 8 6 0 1 20 0
T 8 15 0 1 30 1
C 9 13 0 1 40 0
T 10 3 0 1 30 1
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 
0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 
0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 
0 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 
0 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 
0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 
0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 
0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 
1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 
0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 
0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 
1
0
0
0
335701184 1997104 335715383 13924656 335699801 16939312 335707572 14973232 335677711 15563056 
335701124 1997104 335715443 13924656 335699741 16939312 335707632 14973232 335677771 15563056 
